DRS,PERIODE,temperature_moyenne,temperature_max,temperature_min,precipitation,humidite,vent,rayonnement_solaire
DRS Dakar,2025-01-01,23.033,25.635,21.1,1.765,68.854,4.784,5.018
DRS Dakar,2025-02-01,21.688,24.472,19.929,1.256,73.176,5.18,5.623
DRS Dakar,2025-03-01,20.649,22.777,19.276,3.031,81.969,5.006,6.69
DRS Dakar,2025-04-01,21.566,23.587,20.303,0.526,83.832,4.908,6.942
DRS Dakar,2025-05-01,23.281,24.818,22.204,4.096,84.819,4.382,6.613
DRS Dakar,2025-06-01,25.528,26.577,24.684,50.446,84.641,4.076,6.193
DRS Dakar,2025-07-01,27.192,27.931,26.524,112.189,82.418,4.036,5.662
DRS Dakar,2025-08-01,27.891,28.495,27.342,230.477,83.487,4.072,5.315
DRS Dakar,2025-09-01,28.176,28.857,27.566,206.924,82.802,3.469,5.392
DRS Dakar,2025-10-01,28.352,29.281,27.552,57.631,80.259,3.152,5.373
DRS Dakar,2025-11-01,27.151,28.981,25.597,2.157,72.933,3.833,5.33
DRS Dakar,2025-12-01,24.848,27.249,22.904,2.461,68.062,4.666,4.785
DRS Diourbel,2025-01-01,24.934,34.239,17.67,0.005,30.019,3.301,5.295
DRS Diourbel,2025-02-01,26.71,36.711,18.739,0.0,24.631,3.575,5.846
DRS Diourbel,2025-03-01,28.278,38.93,19.589,1.131,31.206,3.598,6.685
DRS Diourbel,2025-04-01,30.508,41.161,21.734,0.016,34.526,3.94,7.051
DRS Diourbel,2025-05-01,31.522,41.341,23.234,3.004,39.156,3.705,6.766
DRS Diourbel,2025-06-01,31.201,38.974,24.695,44.91,51.646,3.634,6.382
DRS Diourbel,2025-07-01,29.751,35.26,25.214,119.024,65.716,2.921,5.934
DRS Diourbel,2025-08-01,28.004,32.134,24.69,266.044,80.158,2.24,5.421
DRS Diourbel,2025-09-01,27.538,31.336,24.426,199.56,83.454,1.69,5.5
DRS Diourbel,2025-10-01,27.714,32.715,23.7,49.732,75.995,1.46,5.544
DRS Diourbel,2025-11-01,26.736,34.959,20.174,0.446,50.63,1.934,5.505
DRS Diourbel,2025-12-01,25.126,33.81,18.34,3.159,35.918,2.785,4.972
DRS Fatick,2025-01-01,24.344,32.966,17.572,0.211,39.946,3.03,5.308
DRS Fatick,2025-02-01,25.969,35.554,18.488,0.15,33.881,3.306,5.847
DRS Fatick,2025-03-01,27.138,37.414,19.223,1.389,40.532,3.444,6.741
DRS Fatick,2025-04-01,29.101,39.28,21.227,0.098,43.482,3.614,7.021
DRS Fatick,2025-05-01,29.902,38.964,22.805,7.404,49.287,3.511,6.685
DRS Fatick,2025-06-01,29.468,36.038,24.412,59.949,62.613,3.427,6.245
DRS Fatick,2025-07-01,28.685,33.052,25.33,134.267,73.782,2.853,5.734
DRS Fatick,2025-08-01,27.69,31.106,25.114,281.233,83.346,2.401,5.18
DRS Fatick,2025-09-01,27.526,30.793,24.939,229.916,84.705,1.813,5.383
DRS Fatick,2025-10-01,27.737,31.977,24.398,73.443,78.96,1.538,5.494
DRS Fatick,2025-11-01,26.59,33.675,20.813,1.028,59.494,1.858,5.516
DRS Fatick,2025-12-01,24.584,32.369,18.329,1.526,46.19,2.548,4.996
DRS Kaffrine,2025-01-01,24.578,34.05,17.005,0.0,35.775,2.871,5.358
DRS Kaffrine,2025-02-01,27.069,37.034,18.751,0.0,25.91,2.998,5.871
