iter	Passed	Remaining
0	190	114300
1	207	62065
2	222	44261
3	242	36117
4	267	31835
5	288	28517
6	306	26001
7	326	24171
8	346	22757
9	366	21613
10	386	20701
11	406	19919
12	426	19267
13	445	18658
14	465	18169
15	484	17692
16	504	17318
17	524	16950
18	541	16566
19	560	16249
20	579	15971
21	598	15730
22	616	15453
23	634	15229
24	653	15028
25	671	14815
26	689	14623
27	708	14480
28	729	14372
29	749	14239
30	769	14126
31	788	13994
32	810	13919
33	829	13810
34	846	13665
35	864	13539
36	884	13452
37	904	13372
38	924	13292
39	948	13272
40	969	13218
41	989	13142
42	1009	13076
43	1029	13004
44	1050	12956
45	1067	12854
46	1087	12796
47	1107	12731
48	1126	12668
49	1147	12619
50	1167	12567
51	1186	12507
52	1207	12464
53	1226	12405
54	1247	12363
55	1268	12318
56	1286	12259
57	1306	12204
58	1324	12147
59	1346	12116
60	1367	12080
61	1383	12005
62	1404	11973
63	1421	11906
64	1439	11849
65	1458	11803
66	1478	11762
67	1498	11722
68	1519	11692
69	1539	11659
70	1559	11619
71	1578	11577
72	1599	11548
73	1619	11513
74	1637	11464
75	1658	11433
76	1678	11402
77	1698	11370
78	1718	11333
79	1738	11299
80	1756	11256
81	1777	11225
82	1798	11201
83	1817	11165
84	1837	11133
85	1857	11098
86	1876	11065
87	1897	11040
88	1915	10997
89	1932	10951
90	1951	10915
91	1974	10900
92	1992	10861
93	2011	10829
94	2031	10798
95	2054	10786
96	2072	10745
97	2090	10705
98	2110	10682
99	2128	10642
100	2145	10601
101	2165	10570
102	2184	10542
103	2205	10520
104	2226	10494
105	2246	10469
106	2266	10443
107	2285	10411
108	2305	10384
109	2325	10358
110	2345	10331
111	2365	10307
112	2384	10277
113	2404	10251
114	2423	10220
115	2443	10196
116	2464	10173
117	2484	10147
118	2503	10119
119	2524	10097
120	2544	10073
121	2564	10046
122	2582	10013
123	2599	9978
124	2619	9953
125	2638	9925
126	2658	9902
127	2677	9874
128	2697	9847
129	2717	9823
130	2733	9787
131	2753	9761
132	2772	9736
133	2792	9712
134	2811	9685
135	2831	9659
136	2848	9626
137	2866	9597
138	2888	9578
139	2907	9552
140	2926	9526
141	2946	9504
142	2966	9481
143	2985	9455
144	3007	9437
145	3027	9413
146	3046	9388
147	3066	9364
148	3086	9342
149	3107	9323
150	3129	9305
151	3152	9292
152	3177	9283
153	3202	9274
154	3225	9260
155	3249	9248
156	3271	9229
157	3297	9223
158	3318	9204
159	3347	9206
160	3372	9196
161	3393	9175
162	3415	9156
163	3436	9136
164	3455	9110
165	3472	9079
166	3493	9059
167	3513	9035
168	3533	9011
169	3554	8990
170	3573	8964
171	3593	8941
172	3613	8918
173	3633	8894
174	3653	8871
175	3672	8847
176	3692	8825
177	3711	8799
178	3731	8776
179	3751	8754
180	3771	8730
181	3791	8707
182	3811	8686
183	3831	8662
184	3850	8638
185	3870	8615
186	3891	8595
187	3908	8566
188	3926	8538
189	3945	8513
190	3967	8495
191	3985	8469
192	4005	8446
193	4025	8423
194	4044	8399
195	4063	8375
196	4083	8353
197	4103	8331
198	4123	8308
199	4142	8285
200	4163	8264
201	4182	8240
202	4202	8219
203	4223	8198
204	4243	8175
205	4263	8154
206	4283	8131
207	4305	8113
208	4326	8094
209	4344	8068
210	4362	8043
211	4383	8022
212	4402	7999
213	4422	7976
214	4442	7955
215	4462	7933
216	4481	7909
217	4502	7890
218	4522	7867
219	4541	7844
220	4560	7820
221	4584	7806
222	4601	7779
223	4621	7757
224	4641	7736
225	4661	7714
226	4681	7691
227	4701	7670
228	4721	7648
229	4740	7626
230	4760	7604
231	4780	7582
232	4801	7562
233	4819	7538
234	4839	7516
235	4859	7495
236	4879	7474
237	4898	7450
238	4915	7425
239	4935	7402
240	4954	7380
241	4974	7358
242	4994	7337
243	5013	7314
244	5032	7292
245	5050	7267
246	5069	7245
247	5089	7223
248	5109	7202
249	5129	7180
250	5149	7159
251	5169	7138
252	5188	7116
253	5209	7096
254	5230	7075
255	5248	7053
256	5268	7032
257	5288	7010
258	5307	6988
259	5327	6966
260	5348	6946
261	5367	6925
262	5387	6903
263	5407	6882
264	5426	6860
265	5447	6839
266	5467	6818
267	5485	6795
268	5503	6772
269	5521	6748
270	5542	6728
271	5561	6706
272	5582	6686
273	5602	6665
274	5621	6643
275	5641	6622
276	5661	6601
277	5680	6579
278	5700	6558
279	5720	6537
280	5740	6516
281	5760	6495
282	5780	6474
283	5800	6453
284	5820	6432
285	5839	6410
286	5856	6387
287	5874	6363
288	5894	6343
289	5913	6321
290	5931	6298
291	5950	6276
292	5969	6254
293	5990	6234
294	6009	6213
295	6030	6193
296	6050	6172
297	6068	6150
298	6088	6128
299	6112	6112
300	6131	6090
301	6152	6071
302	6172	6050
303	6190	6027
304	6208	6005
305	6228	5984
306	6248	5963
307	6268	5942
308	6288	5921
309	6308	5901
310	6327	5880
311	6347	5859
312	6367	5838
313	6387	5818
314	6407	5797
315	6427	5776
316	6447	5755
317	6467	5735
318	6486	5714
319	6506	5693
320	6528	5674
321	6546	5652
322	6567	5632
323	6587	5611
324	6606	5590
325	6626	5569
326	6645	5548
327	6666	5528
328	6686	5507
329	6706	5486
330	6726	5466
331	6754	5452
332	6772	5430
333	6791	5408
334	6810	5387
335	6828	5365
336	6845	5342
337	6864	5321
338	6884	5300
339	6903	5279
340	6930	5264
341	6960	5250
342	6986	5234
343	7007	5214
344	7026	5193
345	7046	5172
346	7065	5151
347	7081	5128
348	7101	5107
349	7120	5086
350	7140	5065
351	7160	5044
352	7181	5025
353	7203	5005
354	7223	4985
355	7240	4962
356	7261	4942
357	7279	4921
358	7300	4901
359	7320	4880
360	7340	4859
361	7360	4839
362	7380	4818
363	7400	4798
364	7420	4777
365	7440	4756
366	7460	4736
367	7479	4715
368	7499	4695
369	7518	4673
370	7538	4653
371	7558	4632
372	7579	4612
373	7600	4592
374	7618	4571
375	7639	4551
376	7659	4530
377	7679	4510
378	7697	4488
379	7717	4468
380	7738	4448
381	7759	4428
382	7777	4406
383	7797	4386
384	7815	4364
385	7837	4345
386	7854	4322
387	7871	4301
388	7891	4280
389	7911	4260
390	7931	4239
391	7953	4220
392	7972	4199
393	7992	4178
394	8012	4158
395	8030	4136
396	8048	4115
397	8066	4094
398	8086	4073
399	8103	4051
400	8128	4033
401	8145	4012
402	8164	3991
403	8185	3971
404	8204	3950
405	8224	3930
406	8244	3909
407	8263	3888
408	8285	3869
409	8305	3848
410	8324	3828
411	8343	3807
412	8364	3787
413	8384	3766
414	8404	3746
415	8424	3726
416	8443	3705
417	8461	3684
418	8486	3666
419	8503	3644
420	8523	3624
421	8542	3603
422	8563	3583
423	8582	3562
424	8602	3542
425	8622	3521
426	8643	3501
427	8662	3481
428	8682	3460
429	8703	3440
430	8721	3419
431	8741	3399
432	8763	3380
433	8781	3358
434	8801	3338
435	8822	3318
436	8841	3298
437	8862	3277
438	8881	3257
439	8901	3236
440	8921	3216
441	8940	3195
442	8958	3175
443	8978	3154
444	8995	3133
445	9016	3113
446	9034	3092
447	9058	3073
448	9076	3052
449	9094	3031
450	9112	3010
451	9129	2989
452	9148	2968
453	9164	2947
454	9185	2927
455	9204	2906
456	9223	2886
457	9243	2865
458	9260	2844
459	9278	2823
460	9299	2803
461	9319	2783
462	9338	2763
463	9357	2742
464	9377	2722
465	9394	2701
466	9412	2680
467	9431	2660
468	9450	2639
469	9468	2618
470	9487	2598
471	9507	2578
472	9527	2558
473	9547	2537
474	9564	2516
475	9583	2496
476	9602	2476
477	9623	2456
478	9641	2435
479	9662	2415
480	9682	2395
481	9702	2375
482	9722	2355
483	9742	2334
484	9762	2314
485	9782	2294
486	9802	2274
487	9820	2253
488	9842	2234
489	9861	2213
490	9880	2193
491	9901	2173
492	9921	2153
493	9941	2133
494	9961	2113
